,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,12,9,14,11,18,9,10,8,13,12,13,13
W02,7,0,16,16,8,11,8,1,0,18,2,14
W03,3,18,3,0,9,8,11,12,8,16,6,11
W04,15,4,15,14,19,6,17,0,4,6,14,15
W05,11,5,0,15,6,7,15,17,10,8,18,1
W06,8,14,18,17,7,5,13,3,15,1,1,3
M01,4,6,6,10,12,2,5,13,14,4,9,7
M02,2,7,12,5,0,18,12,5,11,15,3,12
M03,10,17,17,18,11,19,6,7,2,11,11,16
M04,9,3,8,7,5,17,1,6,18,14,17,18
M05,18,10,10,19,10,1,9,15,16,19,10,0
M06,0,13,1,2,4,12,7,10,6,10,7,6
M07,19,2,7,9,15,13,19,2,19,9,16,17
M08,16,16,19,8,2,16,0,9,17,0,19,4
M09,1,1,11,3,1,10,16,14,5,5,0,2
M10,5,19,9,6,14,0,14,18,7,3,5,5
M11,6,8,5,4,16,15,3,11,3,17,12,8
M12,13,12,13,13,3,3,4,16,1,7,4,9
M13,14,11,4,12,17,4,2,19,9,2,15,10
M14,17,15,2,1,13,14,18,4,12,13,8,19
