,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,14,19,2,18,11,7,0,12,6,4,5,4
W02,3,5,17,6,4,8,12,13,12,2,0,16
W03,4,10,1,13,6,3,1,9,1,15,3,2
W04,0,13,15,12,18,4,2,1,9,7,11,0
W05,9,15,0,4,17,12,13,11,14,12,13,17
W06,11,3,9,3,8,10,7,3,18,3,7,11
M01,2,6,6,5,1,13,9,0,10,18,19,15
M02,19,4,14,11,2,14,19,10,7,1,4,14
M03,10,11,11,16,13,19,14,2,0,16,2,8
M04,8,1,18,17,5,11,4,5,19,8,10,7
M05,13,17,5,15,16,1,6,8,4,13,17,19
M06,7,16,12,9,3,16,16,15,5,17,14,6
M07,18,18,4,2,12,6,10,4,17,5,15,13
M08,5,14,10,8,10,18,3,18,11,11,1,12
M09,6,12,19,7,9,5,18,7,2,14,18,1
M10,16,0,3,19,7,15,8,14,8,9,8,5
M11,12,8,16,10,15,9,5,17,15,10,16,10
M12,15,7,8,1,19,0,11,6,13,19,9,9
M13,1,9,7,14,0,2,15,19,16,6,6,3
M14,17,2,13,0,14,17,17,16,3,0,12,18
