,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,4,4,4,7,4,7,12,4,6,8,4,4
W02,7,6,7,12,6,4,4,11,4,6,6,8
W03,8,11,11,0,7,6,0,6,8,4,8,12
W04,3,8,6,6,8,11,8,8,7,7,11,11
W05,11,7,0,4,11,8,6,0,0,1,7,7
W06,12,0,8,8,2,1,1,7,11,0,2,6
M01,6,1,12,11,0,2,2,2,2,3,12,1
M02,0,2,3,1,12,0,5,1,5,12,0,0
M03,13,5,19,9,5,12,7,12,12,2,9,3
M04,15,10,2,3,1,3,11,3,13,5,1,2
M05,9,9,9,2,9,5,13,9,1,10,3,5
M06,10,3,10,5,3,14,9,5,10,16,5,13
M07,5,14,17,10,10,9,3,13,3,11,16,9
M08,2,13,5,13,15,15,14,14,9,9,17,10
M09,16,18,13,14,14,16,15,15,15,13,10,18
M10,1,15,1,15,16,10,17,10,18,14,13,15
M11,17,12,14,17,18,17,10,16,17,15,14,14
M12,14,16,15,19,13,18,18,18,16,17,15,17
M13,18,19,16,18,17,13,16,17,14,18,19,19
M14,19,17,18,16,19,19,19,19,19,19,18,16
