,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,0,0,1,1,0,0,0,0,0,1,3,1
W02,7,3,0,4,3,3,1,1,6,3,0,3
W03,8,6,3,0,1,1,3,7,8,0,2,0
W04,1,7,8,9,6,6,4,3,4,7,9,7
W05,4,8,4,7,4,7,7,8,1,8,1,6
W06,2,5,7,3,7,8,2,2,3,6,6,5
M01,10,9,10,6,8,2,8,9,7,2,7,8
M02,3,1,5,5,2,4,11,12,2,4,4,2
M03,6,2,2,2,5,5,6,11,5,5,10,9
M04,9,4,15,12,9,11,5,6,9,11,5,10
M05,5,10,11,10,10,9,13,13,14,9,16,4
M06,12,14,9,11,13,10,10,4,15,14,8,11
M07,13,11,14,8,11,14,12,14,11,15,14,12
M08,14,13,12,17,15,15,9,5,17,10,11,15
M09,15,17,6,13,17,16,14,10,16,16,17,17
M10,17,16,16,18,18,12,19,16,12,13,12,13
M11,19,12,17,15,12,13,16,15,10,17,13,16
M12,11,19,18,14,14,18,18,19,19,12,18,18
M13,16,18,13,16,16,17,17,17,18,18,15,14
M14,18,15,19,19,19,19,15,18,13,19,19,19
