,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,1,1,0,4,0,0,0,1,0,1,1,0
W02,2,3,6,0,1,1,1,0,3,0,2,2
W03,0,2,1,5,2,2,4,2,2,2,0,1
W04,4,0,2,2,3,5,2,3,4,4,3,5
W05,6,5,3,8,4,3,3,6,5,3,6,3
W06,3,6,4,1,5,4,5,4,1,5,4,7
M01,5,4,5,7,8,6,8,5,6,6,7,4
M02,8,7,7,11,6,9,10,8,10,7,5,6
M03,7,9,8,6,7,7,9,9,8,8,10,8
M04,9,8,9,10,11,8,7,10,7,14,8,9
M05,12,13,10,9,12,13,6,7,9,10,11,10
M06,13,11,11,3,9,12,11,12,11,9,9,12
M07,11,10,12,12,13,10,12,11,12,12,12,13
M08,10,12,13,13,10,11,14,13,15,13,14,11
M09,16,15,14,14,15,14,15,17,13,17,13,15
M10,14,16,15,15,14,17,16,16,14,15,16,14
M11,15,17,16,16,17,15,17,19,16,19,17,18
M12,17,18,17,17,16,16,13,14,18,11,15,16
M13,19,19,18,18,19,18,18,15,17,16,19,19
M14,18,14,19,19,18,19,19,18,19,18,18,17
