,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,4,7,7,6,4,6,4,6,6,6,6,4
W02,6,4,4,8,7,4,7,7,4,4,7,6
W03,7,6,6,4,6,7,8,4,7,7,8,8
W04,11,11,8,7,8,11,0,11,0,12,4,3
W05,8,12,11,11,11,1,6,8,12,1,12,7
W06,2,8,0,0,0,8,2,0,1,8,0,11
M01,12,3,2,1,12,0,11,12,8,11,11,1
M02,0,0,12,9,1,12,12,2,11,0,1,0
M03,1,2,1,5,2,2,5,1,5,2,2,2
M04,3,5,3,2,9,5,1,5,2,9,5,12
M05,5,1,13,3,3,3,14,3,3,3,9,10
M06,10,9,5,10,16,9,9,14,14,10,3,9
M07,9,10,10,12,13,10,3,9,13,5,13,13
M08,13,13,9,13,5,14,15,10,9,13,15,16
M09,17,16,14,14,10,15,18,13,10,15,10,5
M10,14,19,15,16,14,13,10,15,15,14,14,14
M11,15,14,17,17,17,17,13,16,17,16,16,15
M12,16,17,16,15,15,19,16,17,19,18,17,17
M13,18,15,18,18,18,18,19,18,18,19,18,18
M14,19,18,19,19,19,16,17,19,16,17,19,19
